SITE;Original ID;CID;RAG.TREATMENT;RAG.ORDER;INGFIRST;RAG.LOCAL1;RAG.DISTANT1;RAG.SELF2;RAG.DISTANT2;RAG.ORDER2;INGFIRST2;RAG.DISTANT3;RAG.OUTGROUP3;RAG.SELF4;RAG.OUTGROUP4;GA1;GA2;GA3;HONEST13;HONEST;DG.TREATMENT;DG.ORDER;ORDCODE;DIDRAG;DG.LOCAL1;DG.DISTANT1;DG.SELF2;DG.DISTANT2;DG.DISTANT3;DG.OUTGROUP3;DG.SELF4;DG.OUTGROUP4;GA1;GA2;GA3;DG.HONEST;SEX;AGE13;AGE;FAMILY;CHILDREN;FORMALED;HOUSEHOLD;MAT1;MAT2;MAT3;MAT4;BGPUNISH;BGSTLIMP;BGLIEIMP;BGMURDIMP;BGFEEL;BGSEE;BGREWARD;BGDIE;LGPUNISH;LGSTEALIMP;LGLIEIMP;LGMURDIMP;LGFEEL;LGSEE;LGREWARD;LGDIE;POLEVAL;CORELEMO;INGREMO;OUTGREMO;CORELSIM;OUTSIM
Cachoeira;CA015;1013;3;21;0;18;12;10;20;NA;NA;NA;NA;NA;NA;Play dice with friends, play games;About human beings to study the capacity that people have;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;20;20;1;0;6;5;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cachoeira;CA019;1014;1;12;1;23;7;7;23;NA;NA;NA;NA;NA;NA;Yes, it made me remember that it is important to help other people;Solidarity;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;37;37;1;0;17;3;1;1;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cachoeira;CA020;1015;1;21;0;19;11;19;11;NA;NA;NA;NA;NA;NA;Conscience, character and honesty;I think the game was to mess with people?s conscience;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;18;18;1;0;2;4;0;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cachoeira;CA021;1016;1;12;1;22;8;20;10;NA;NA;NA;NA;NA;NA;Yes! In the moment I was playing I was remembering when I used to play to distract myself;To teach more;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;64;64;1;6;NA;1;1;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cachoeira;CA022;1017;1;12;1;16;14;15;15;NA;NA;NA;NA;NA;NA;Yes! My friendships;Open more our minds to the world;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;21;21;1;0;12;6;1;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cachoeira;CA023;1018;1;12;1;19;11;13;17;NA;NA;NA;NA;NA;NA;Your routine;To me it was share what I have with others;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;41;41;1;1;NA;3;0;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cachoeira;CA024;1019;1;21;0;17;13;18;12;NA;NA;NA;NA;NA;NA;Administration of the home;Economy;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;31;31;1;3;NA;5;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cachoeira;CA025;1020;1;21;0;11;19;14;16;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;19;19;1;0;7;6;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cachoeira;CA026;1021;1;12;1;15;15;15;15;NA;NA;NA;NA;NA;NA;Yes. It made me remember of the conscience we have so that food is not lacking in our table;The study was about our plan of life in the next few days;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;19;19;1;0;NA;2;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cachoeira;CA027/DG099;1022;1;21;0;16;14;18;12;NA;NA;NA;NA;NA;NA;Yes,the difficulties I have endured and it reflects a lot our behavior;It reflects a lot our behavior and our day-to-day ;NA;0;0;2;3412;3;1;6;4;8;2;3;7;7;3;yes, i always liked to share;know the religion of people;everything in my life;0;1;54;54;6;6;8;5;1;1;1;1;1;3;3;4;1;1;3;0;0;0;0;0;0;0;2;0;2;1;1;3;0;NA
Cachoeira;CA028;1023;1;12;1;20;10;13;17;NA;NA;NA;NA;NA;NA;Nothing;About me;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;18;18;1;0;11;3;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cachoeira;CA029;1024;1;21;0;15;15;14;16;NA;NA;NA;NA;NA;NA;No ;About people's lives day to day;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;18;18;1;0;NA;5;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cachoeira;CA030;1025;1;21;0;17;13;13;17;NA;NA;NA;NA;NA;NA;Your job;About each person?s selfishness;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;35;35;1;NA;18;7;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cachoeira;CA031;1026;1;12;1;15;15;17;13;NA;NA;NA;NA;NA;NA;The games with friends. And the importance of helping people;The importance of helping people;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;29;29;1;0;8;4;1;1;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cachoeira;CA032/DG098;1027;1;21;0;15;15;12;18;NA;NA;NA;NA;NA;NA;Yes! Helping fellow men;Want to help fellow men;NA;0;0;3;1234;1;1;4;6;7;3;5;5;6;4;yes, help people;help people of the religion;doesn?t mean anything;0;0;46;46;1;3;8;3;1;1;1;1;0;1;1;1;1;1;4;0;0;0;0;0;0;0;4;0;1;1;1;5;0;NA
Cachoeira;CA033;1028;1;12;1;10;20;21;9;NA;NA;NA;NA;NA;NA;Nothing;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;26;26;6;0;8;6;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cachoeira;CA034/DG011;1029;1;21;0;14;16;13;17;NA;NA;NA;NA;NA;NA;NA;Reality of life;NA;0;0;0;1432;1;1;6;4;7;3;1;9;7;3;mica?s house;financial life;study about candombl? terreiro;0;0;30;30;2;3;17;4;1;0;0;0;0;0;0;0;1;1;4;0;0;0;0;0;0;0;0;0;0;1;1;1;0;NA
Cachoeira;CA035/DG100;1030;1;12;1;13;17;18;12;NA;NA;NA;NA;NA;NA;Domino;Use the mind of the Brazilian [person];NA;0;0;3;4123;4;1;7;3;5;5;2;8;7;3;yes, it reminds me of my family;about people?s knowledge;it doesn?t mean anything;0;1;48;48;1;4;8;2;1;1;1;1;0;0;0;0;1;1;4;1;NA;2;2;2;0;0;0;0;0;1;1;1;0;NA
Cachoeira;CA036;1031;1;12;1;13;17;14;16;NA;NA;NA;NA;NA;NA;Nothing;Test each person?s honesty;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;67;67;1;0;NA;2;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cachoeira;CA037;1032;1;21;0;15;15;16;14;NA;NA;NA;NA;NA;NA;Study;To understand the human being and his honesty;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;23;23;1;2;7;3;1;1;1;1;1;0;0;0;1;1;4;0;0;0;0;0;0;0;0;NA;2;1;1;3;0;NA
Cachoeira;CA041;1033;3;21;0;15;15;14;16;NA;NA;NA;NA;NA;NA;Not at this moment, my mind is tired;Each one?s honesty. My terreiro needs help and a donation to avoid closing, the filhos-de-santo [initiates] are in very weak financial conditions and many unemployed;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;55;55;1;0;5;2;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cachoeira;CA042;1034;3;12;1;19;11;14;16;NA;NA;NA;NA;NA;NA;More or less, nothing at this moment;To test each one?s conscience;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;39;39;1;0;8;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cachoeira;CA043;1035;3;12;1;13;17;20;10;NA;NA;NA;NA;NA;NA;Patience;Sort of knowing how many people in each city are in different religions, also union [solidarity];NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;47;47;2;2;8;4;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cachoeira;CA044;1036;3;21;0;13;17;13;17;NA;NA;NA;NA;NA;NA;Only work;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;18;18;1;0;8;6;0;1;1;1;NA;4;4;4;1;1;4;1;1;2;4;4;1;1;4;0;NA;4;4;2;NA;NA
Cachoeira;CA045;1037;3;21;0;14;16;11;19;NA;NA;NA;NA;NA;NA;The journey of my life;To test the humility and honesty of people;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;41;41;1;1;8;2;1;1;1;1;0;0;0;4;1;1;4;0;NA;3;3;4;NA;NA;NA;NA;0;1;5;1;0;NA
Cachoeira;CA046;1038;3;12;1;16;14;16;14;NA;NA;NA;NA;NA;NA;It did. To learn to share;To teach human beings to share and give what they have to others;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;41;41;2;3;8;6;1;1;1;1;1;NA;NA;NA;1;1;4;1;1;NA;NA;NA;0;0;4;0;NA;NA;NA;NA;NA;NA
Cachoeira;CA047;1039;3;12;1;17;13;17;13;NA;NA;NA;NA;NA;NA;It did not;Types of people, and the capacity to distinguish the nature of human beings;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;35;35;2;5;8;8;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cachoeira;CA048;1040;3;21;0;14;16;13;17;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;20;20;1;0;8;6;1;1;1;1;1;0;0;0;1;1;4;0;1;0;0;0;1;1;NA;0;0;1;5;1;0;NA
Cachoeira;CA049;1041;3;12;1;18;12;NA;NA;NA;NA;NA;NA;NA;NA;No;No;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;71;71;5;6;5;4;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cachoeira;CA050;1042;3;12;1;18;12;14;16;NA;NA;NA;NA;NA;NA;No;No;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;43;43;1;5;6;7;1;1;1;1;0;4;4;4;1;1;4;0;1;0;0;0;1;1;4;0;0;1;5;1;0;NA
Cachoeira;CA051;1043;3;21;0;13;17;11;19;NA;NA;NA;NA;NA;NA;No;Nothing;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;25;25;1;1;8;3;1;1;1;1;1;4;4;4;1;1;4;1;1;NA;4;4;NA;1;4;0;2;2;2;5;NA;NA
Cachoeira;CA052;1044;3;12;1;11;19;18;12;NA;NA;NA;NA;NA;NA;Of my financial life;It was to understand a little about human thought;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;25;25;1;2;8;4;1;1;1;1;0;0;0;0;1;1;4;0;1;0;0;0;1;1;4;0;0;1;5;1;1;NA
Cachoeira;CA053;1045;3;12;1;13;17;13;17;NA;NA;NA;NA;NA;NA;I have a headache but I liked it;I don?t know;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;36;36;1;0;8;5;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cachoeira;CA054;1046;3;12;1;17;13;13;17;NA;NA;NA;NA;NA;NA;No;I don?t know;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;44;44;1;1;5;4;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cachoeira;CA055;1047;3;12;1;17;13;13;17;NA;NA;NA;NA;NA;NA;Yes, my day to day;Wisdom;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;44;44;1;0;8;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cachoeira;CA056;1048;1;12;1;12;18;12;18;NA;NA;NA;NA;NA;NA;I don?t know;I don?t know;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;29;29;1;0;8;3;0;0;0;0;1;3;NA;3;1;1;4;0;1;0;0;0;1;1;2;0;2;1;2;2;-1;NA
Cachoeira;CA057/DG045;1049;1;21;0;17;13;12;18;NA;NA;NA;NA;NA;NA;Of my day to day, of the university;I don?t know;NA;0;0;0;1342;1;1;5;5;5;5;5;5;5;5;yes, it made me remember that we have to give what we have;learn to share ;share what i have;0;0;20;20;1;1;6;4;1;1;1;1;1;3;2;3;1;1;3;1;1;3;2;4;1;0;3;1;NA;2;4;1;-1;NA
Cachoeira;CA058;1050;1;12;1;12;18;12;18;NA;NA;NA;NA;NA;NA;It made me remember my childhood;Honesty;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;19;19;1;0;7;5;1;1;1;1;1;3;2;4;1;1;4;1;1;1;1;2;0;0;2;0;1;1;2;2;-1;NA
Cachoeira;CA059;1051;1;12;1;17;13;14;16;NA;NA;NA;NA;NA;NA;I hope the game shows that when we want we are honest;That people can be honest;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;1;2;8;5;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cachoeira;CA060;1052;1;21;0;18;12;14;16;NA;NA;NA;NA;NA;NA;I mentalized about faith, because it was about terreiros and the colors blue and red, I instantly transported myself to that universe. So, I rememberd Ogum, an orixÿ in which I have faith;I imagine that it?s about something in relation to people with faith, or terreiros. But, since it?s also about donations of coins, I think it must have something to do with economic issues;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;34;34;1;1;12;3;1;0;0;0;0;4;4;4;1;1;4;1;1;0;0;0;1;1;4;0;0;2;5;4;0;NA
Cachoeira;CA061;1053;1;12;1;13;17;14;16;NA;NA;NA;NA;NA;NA;Honesty of each one, humility;For me it was a joy, to help others;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;25;25;1;1;7;2;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cachoeira;CA062;1054;1;12;1;13;17;14;16;NA;NA;NA;NA;NA;NA;Of my day-to-day work;Economy;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;19;19;1;NA;2;4;1;1;1;1;1;3;3;3;1;1;4;1;0;0;0;0;0;0;0;0;1;1;1;3;0;NA
Cachoeira;CA063;1055;1;12;1;13;17;13;17;NA;NA;NA;NA;NA;NA;Yes, of my life;To test the honesty of each one;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;40;40;1;2;8;3;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cachoeira;CA064;1056;1;21;0;17;13;10;20;NA;NA;NA;NA;NA;NA;It made me remember my childhood;To test the honesty of each person that participates in the game;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;18;18;1;0;8;3;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cachoeira;CA065;1057;1;12;1;17;13;9;21;NA;NA;NA;NA;NA;NA;It made me remember my professional life and receiving payments from clients;About financial stuff;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;21;21;1;0;4;2;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cachoeira;CA066;1058;1;12;1;17;13;17;13;NA;NA;NA;NA;NA;NA;Psychology;Test honesty, also the psychology of human beings;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;42;42;2;2;8;4;1;1;1;1;1;4;4;4;1;1;4;1;0;0;0;0;0;0;0;0;-1;1;1;2;NA;NA
Cachoeira;CA067;1059;1;NA;NA;16;14;16;14;NA;NA;NA;NA;NA;NA;Of my saint house (candombl? terreiro) when my mother (m?e-de-santo) calls for the game (fortune-telling with cowrie shells) in your life to see how it goes, I remembered that;Today I didn?t feel good but it made me happy;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;30;30;1;0;17;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cachoeira;CA068;1060;1;21;0;17;13;13;17;NA;NA;NA;NA;NA;NA;My husband?s domino game day ;Everyday life;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;34;34;2;4;5;5;1;1;1;1;1;2;2;3;1;1;3;0;1;2;2;2;1;0;1;0;1;1;2;1;-1;NA
Cachoeira;CA069 ;1061;1;21;0;13;17;13;17;NA;NA;NA;NA;NA;NA;No;I don?t know;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;48;48;2;2;21;4;0;0;0;0;1;3;1;3;1;1;NA;0;1;2;2;2;1;1;NA;0;1;1;3;2;-2;NA
Cachoeira;CA070;1062;1;21;0;10;20;12;18;NA;NA;NA;NA;NA;NA;Yes. Times [in the past] in school;My day to day;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;20;20;1;0;10;3;1;0;0;0;1;3;3;3;1;1;4;0;1;2;4;3;1;1;3;0;1;1;2;2;-1;NA
